r2_lr1-e4	r4_lr1-e4	r8_lr1-e4
0.719	0.576	0.289
0.719	0.576	0.289
0.921	0.505	0.807
0.921	0.505	0.807
0.641	0.665	0.658
0.641	0.665	0.658
0.568	0.636	0.619
0.568	0.636	0.619
0.769	0.563	0.386
0.769	0.563	0.386
0.687	0.312	0.803
0.687	0.312	0.803
0.575	0.464	0.606
0.575	0.464	0.606
0.967	0.822	0.906
0.967	0.822	0.906
0.49	0.567	0.739
0.49	0.567	0.739
0.847	0.525	0.641
0.847	0.525	0.641
0.637	0.715	0.712
0.637	0.715	0.712
0.838	0.668	0.263
0.838	0.668	0.263
0.938	0.776	0.673
0.938	0.776	0.673
0.67	0.862	0.51
0.67	0.862	0.51
0.503	0.864	0.564
0.503	0.864	0.564
0.821	0.466	0.607
0.821	0.466	0.607
0.75	0.669	0.619
0.75	0.669	0.619
0.443	0.867	0.683
0.443	0.867	0.683
0.969	0.562	0.582
0.969	0.562	0.582
0.562	0.626	0.708
0.562	0.626	0.708
0.801	0.718	0.429
0.801	0.718	0.429
0.356	0.383	0.839
0.356	0.383	0.839
0.658	0.778	0.688
0.658	0.778	0.688
0.761	0.509	0.427
0.761	0.509	0.427
0.575	0.626	0.77
0.575	0.626	0.77
0.678	0.594	0.542
0.678	0.594	0.542
0.93	0.463	0.47
0.93	0.463	0.47
0.882	0.903	0.454
0.882	0.903	0.454
0.688	0.521	0.507
0.688	0.521	0.507
0.459	0.641	0.765
0.459	0.641	0.765
0.496	0.417	0.882
0.496	0.417	0.882
0.638	0.688	0.248
0.638	0.688	0.248
0.927	0.623	0.664
0.927	0.623	0.664
0.706	0.726	0.659
0.706	0.726	0.659
0.498	0.651	0.57
0.498	0.651	0.57
0.871	0.776	0.547
0.871	0.776	0.547
0.464	0.764	0.583
0.464	0.764	0.583
0.718	0.778	0.427
0.718	0.778	0.427
0.668	0.406	0.507
0.668	0.406	0.507
0.538	0.44	0.517
0.538	0.44	0.517
0.676	0.551	0.252
0.676	0.551	0.252
0.877	0.767	0.537
0.877	0.767	0.537
1.08	0.483	0.692
1.08	0.483	0.692
0.426	0.405	0.615
0.426	0.405	0.615
0.915	0.375	0.772
0.915	0.375	0.772
0.596	0.544	0.612
0.596	0.544	0.612
0.918	0.634	0.595
0.918	0.634	0.595
0.676	0.862	0.609
0.676	0.862	0.609
0.515	0.513	0.632
0.515	0.513	0.632
0.227	0.645	0.564
0.227	0.645	0.564
0.496	0.523	0.521
0.496	0.523	0.521
0.798	0.62	0.723
0.798	0.62	0.723
0.522	0.47	0.571
0.522	0.47	0.571
0.84	0.648	0.504
0.84	0.648	0.504
0.612	0.641	0.659
0.612	0.641	0.659
0.446	0.688	0.721
0.446	0.688	0.721
0.796	0.901	0.41
0.796	0.901	0.41
0.583	0.755	0.41
0.583	0.755	0.41
0.913	0.789	0.518
0.913	0.789	0.518
1.07	0.813	0.294
1.07	0.813	0.294
0.964	0.385	0.571
0.964	0.385	0.571
0.787	0.495	0.415
0.787	0.495	0.415
0.494	0.359	0.458
0.494	0.359	0.458
0.867	0.457	0.678
0.867	0.457	0.678
0.768	0.691	0.396
0.768	0.691	0.396
0.653	0.507	0.456
0.653	0.507	0.456
0.664	0.819	0.769
0.664	0.819	0.769
0.563	0.683	0.457
0.563	0.683	0.457
0.433	0.793	0.723
0.433	0.793	0.723
0.422	0.458	0.587
0.422	0.458	0.587
0.775	0.424	0.776
0.775	0.424	0.776
0.674	0.675	0.23
0.674	0.675	0.23
0.497	0.958	0.643
0.497	0.958	0.643
0.67	0.558	0.824
0.67	0.558	0.824
0.55	0.3	0.671
0.55	0.3	0.671
0.246	0.838	0.597
0.246	0.838	0.597
0.741	0.787	0.641
0.741	0.787	0.641
0.546	0.646	0.621
0.546	0.646	0.621
0.57	0.804	0.751
0.57	0.804	0.751
0.811	0.705	0.61
0.811	0.705	0.61
0.75	0.591	0.458
0.75	0.591	0.458
0.88	0.341	0.528
0.88	0.341	0.528
0.997	0.253	0.756
0.997	0.253	0.756
0.547	0.51	0.764
0.547	0.51	0.764
0.806	0.619	0.363
0.806	0.619	0.363
0.832	0.75	0.583
0.832	0.75	0.583
0.467	0.571	0.616
0.467	0.571	0.616
0.729	0.619	0.307
0.729	0.619	0.307
0.826	0.648	0.399
0.826	0.648	0.399
0.612	0.768	0.728
0.612	0.768	0.728
0.769	0.53	0.706
0.769	0.53	0.706
0.544	0.532	0.314
0.544	0.532	0.314
0.643	0.727	0.371
0.643	0.727	0.371
0.634	0.436	0.805
0.634	0.436	0.805
0.935	0.261	0.573
0.935	0.261	0.573
0.287	0.657	0.68
0.287	0.657	0.68
0.734	0.457	0.499
0.734	0.457	0.499
0.362	0.578	0.539
0.362	0.578	0.539
0.679	0.581	0.546
0.679	0.581	0.546
0.781	0.668	0.429
0.781	0.668	0.429
0.657	0.801	0.475
0.657	0.801	0.475
0.989	0.335	0.605
0.989	0.335	0.605
0.733	0.6	0.624
0.733	0.6	0.624
0.481	0.675	0.854
0.481	0.675	0.854
0.642	0.668	0.971
0.642	0.668	0.971
0.661	0.852	0.538
0.661	0.852	0.538
0.961	0.792	0.526
0.961	0.792	0.526
0.443	0.573	0.39
0.443	0.573	0.39
0.76	0.825	0.638
0.76	0.825	0.638
0.638	0.779	0.426
0.638	0.779	0.426
0.748	0.732	0.625
0.748	0.732	0.625
0.668	0.29	0.986
0.668	0.29	0.986
0.564	0.422	0.331
0.564	0.422	0.331
0.64	0.71	0.536
0.64	0.71	0.536
0.313	0.792	0.873
0.313	0.792	0.873
0.671	0.47	0.532
0.671	0.47	0.532
0.609	0.562	0.575
0.609	0.562	0.575
0.718	0.565	0.389
0.718	0.565	0.389
0.656	0.674	0.561
0.656	0.674	0.561
0.677	0.615	0.823
0.677	0.615	0.823
0.462	0.876	0.835
0.462	0.876	0.835
0.649	0.771	0.625
0.649	0.771	0.625
0.513	0.514	0.604
0.513	0.514	0.604
0.612	0.674	0.546
0.612	0.674	0.546
0.815	0.47	0.695
0.815	0.47	0.695
0.746	0.74	0.799
0.746	0.74	0.799
0.67	0.629	0.508
0.67	0.629	0.508
0.692	0.549	0.681
0.692	0.549	0.681
0.882	0.399	0.668
0.882	0.399	0.668
0.784	0.67	0.77
0.784	0.67	0.77
0.813	0.715	0.636
0.813	0.715	0.636
0.555	0.445	0.34
